Total_Population,AAWDT
11797.972850195512,2383200
14905.789950054219,513600
52266.63588703053,6627200
11581.287605559755,3359400
53336.89339368449,2289235
28214.57373246147,1752000
26652.28509019814,427146
27043.75511779976,5986500
37678.092289619824,1690290
28908.924240134063,719000
48223.83991390924,5258110
26233.280473499162,136800
39597.13343410114,1609200
52186.42643183387,2142372
22781.879587947293,1132200
10296.739166365458,814200
45080.1081326192,2493664
40558.449740413365,3817800
13473.991316991423,1948700
29882.212106923405,2244000
2818.1053363125557,1763430
24020.93609732856,450400
28340.275117471167,2299700
7218.850967699537,19200
9592.811410311175,58100
8636.283728189794,74800
6830.972408241055,837200
20502.494473104853,357500
10296.504518121776,2383200
13008.805454605199,513600
45614.92549535044,6627200
10107.39570860579,3359400
46548.97674235205,2289235
24623.847639076,1752000
23260.383570466267,427146
23602.033187658137,5986500
32882.99205467749,1690290
25229.831669569216,719000
42086.635717806326,5258110
22894.70355206519,136800
34557.80653895442,1609200
45544.92389182795,2142372
19882.545000492886,1132200
8986.325252193343,814200
39342.99077974567,2493664
35396.78098117175,3817800
11759.224591726086,1948700
26079.254112312294,2244000
2459.4593237603917,1763430
20963.9130549075,450400
24733.551644596326,2299700
6300.144317024283,19200
8371.982821279531,58100
7537.1875792724995,74800
5961.629099990143,837200
17893.245700391024,357500
10582.442973088424,2383200
13370.06569841948,513600
46881.67202050406,6627200
10388.082528833833,3359400
47841.66228107647,2289235
25307.662708244337,1752000
23906.33464331482,427146
24257.47202050406,5986500
33796.16719350705,1690290
25930.475181546346,719000
43255.400085433575,5258110
23530.499530115336,136800
35517.4920119607,1609200
46809.726441691586,2142372
20434.6920119607,1132200
9235.879453225118,814200
40435.56292182828,2493664
36379.765143101235,3817800
12085.783425886373,1948700
26803.4864587783,2244000
2527.759589918838,1763430
21546.090132422043,450400
25420.413242204188,2299700
6475.102093122598,19200
8604.476463049978,58100
7746.498590346006,74800
6127.186159760787,837200
18390.14899615549,357500
10849.939531101107,2383200
13708.02608845661,513600
48066.71841586436,6627200
10650.666161732332,3359400
49050.974726448265,2289235
25947.374415930073,1752000
24510.624432359607,427146
24870.63764663359,5986500
34650.44615548911,1690290
26585.929964183615,719000
44348.7837840502,5258110
24125.28918772385,136800
36415.281575920875,1609200
47992.95424046266,2142372
20951.227729767026,1132200
9469.33839746328,814200
41457.668491440214,2493664
37299.350722899486,3817800
12391.280509644137,1948700
27481.00868958039,2244000
2591.6547596359214,1763430
22090.719096047054,450400
26062.974989320803,2299700
6638.775786153189,19200
8821.975186475207,58100
7942.3098708638645,74800
6282.06544540466,837200
18855.003998948512,357500
11129.676716064798,2383200
14061.451526303685,513600
49305.99246541583,6627200
10925.265606414092,3359400
50315.62523904972,2289235
26616.35929418723,1752000
25142.566487037097,427146
25511.861696185064,5986500
35543.81687313114,1690290
27271.37831958729,719000
45492.20065718135,5258110
24747.296385502577,136800
37354.15393815924,1609200
49230.32647455065,2142372
21491.400092005388,1132200
9713.48040942398,814200
42526.54555252522,2493664
38261.016485394146,3817800
12710.757122202873,1948700
28189.534298294613,2244000
2658.4737686064473,1763430
22660.27024940032,450400
26734.94032464759,2299700
6809.939177866133,19200
9049.42663884599,58100
8147.081464200046,74800
6444.031998159892,837200
19341.13073965761,357500
